Start: 2024-03-14T14:04:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l  0.0%    10    5.9   7.6   5.0   9.5   1.5
  2.|-- 197.243.109.57             0.0%    10    7.2  10.2   7.0  19.5   4.8
  3.|-- 10.255.254.24              0.0%    10    7.6   7.9   6.2  10.4   1.3
  4.|-- 197.243.126.123            0.0%    10    9.0   9.8   5.4  19.8   5.0
  5.|-- 197.243.126.122            0.0%    10    8.4  13.7   7.2  40.1   9.9
  6.|-- 72.14.242.254              0.0%    10   26.0  32.9  26.0  53.8   8.5
  7.|-- 172.253.53.49              0.0%    10   26.5  30.9  26.5  40.5   4.7
  8.|-- 216.239.63.239             0.0%    10   23.5  28.5  23.5  40.3   4.9
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   25.8  28.5  25.0  34.5   2.8
Start: 2024-03-14T14:58:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l  0.0%    10    7.6   7.3   5.7   9.0   1.0
  2.|-- 197.243.109.57             0.0%    10    8.2   8.5   6.1  15.2   2.9
  3.|-- 10.255.254.24              0.0%    10    7.7   7.6   5.2  10.1   1.7
  4.|-- 197.243.126.123            0.0%    10    7.7  10.9   6.1  37.7   9.6
  5.|-- 197.243.126.122            0.0%    10   21.9   9.8   6.6  21.9   4.5
  6.|-- 72.14.242.254              0.0%    10   27.0  28.4  26.1  31.3   1.7
  7.|-- 172.253.53.49              0.0%    10   37.4  30.6  27.4  37.4   3.4
  8.|-- 216.239.63.239             0.0%    10   24.6  26.1  24.6  27.2   0.8
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   24.1  26.9  24.1  29.7   1.9
Start: 2024-03-14T15:00:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l 20.0%    10   18.9  13.3   6.0  19.6   4.6
  2.|-- 197.243.109.57             0.0%    10    9.1   8.8   6.4  12.3   2.1
  3.|-- 10.255.254.24              0.0%    10    7.4  14.3   6.4  53.0  14.1
  4.|-- 197.243.126.123            0.0%    10    7.2   8.6   3.9  12.0   2.4
  5.|-- 197.243.126.122            0.0%    10    8.1  22.3   6.7  77.8  23.1
  6.|-- 72.14.242.254              0.0%    10   25.1  56.9  25.1 217.0  57.6
  7.|-- 172.253.53.49              0.0%    10   37.4  37.4  26.9  58.8  10.4
  8.|-- 216.239.63.239             0.0%    10   26.9  37.2  24.8  70.0  15.7
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   26.2  32.3  25.1  57.7  11.1
Start: 2024-03-14T15:02:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l 20.0%    10    8.4   7.1   6.0   8.4   0.8
  2.|-- 197.243.109.57             0.0%    10    6.5   8.9   5.6  12.0   2.2
  3.|-- 10.255.254.24              0.0%    10    9.0   9.9   5.8  17.0   3.1
  4.|-- 197.243.126.123            0.0%    10   28.4  10.0   5.6  28.4   6.6
  5.|-- 197.243.126.122            0.0%    10   61.0  41.6   8.1 115.4  34.4
  6.|-- 72.14.242.254              0.0%    10   59.4  55.8  23.5 143.1  36.5
  7.|-- 172.253.53.49              0.0%    10   46.6  56.6  26.8 116.7  31.1
  8.|-- 216.239.63.239             0.0%    10   67.3  44.7  24.4  86.7  21.7
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10  102.9  55.3  25.8 123.4  35.6
Start: 2024-03-14T15:04:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l 30.0%    10    5.5   7.3   5.5  10.8   1.9
  2.|-- 197.243.109.57             0.0%    10    8.4  10.1   7.1  17.5   3.0
  3.|-- 10.255.254.24              0.0%    10    7.4   8.4   6.8  10.5   1.4
  4.|-- 197.243.126.123            0.0%    10   18.3   9.6   6.2  18.3   3.9
  5.|-- 197.243.126.122            0.0%    10   13.7  22.9   6.2  98.2  27.7
  6.|-- 72.14.242.254              0.0%    10   37.1  37.7  25.7  82.2  17.6
  7.|-- 172.253.53.49              0.0%    10   35.7  35.7  25.3  77.2  15.4
  8.|-- 216.239.63.239             0.0%    10   43.9  34.9  25.2  79.2  16.6
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   24.8  30.1  24.7  49.7   7.6
Start: 2024-03-14T15:06:02+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l 10.0%    10   10.3   8.5   5.7  14.4   2.9
  2.|-- 197.243.109.57             0.0%    10    5.8   8.6   5.8  15.5   3.0
  3.|-- 10.255.254.24              0.0%    10   10.5   6.9   4.7  10.5   1.7
  4.|-- 197.243.126.123            0.0%    10    7.7  11.7   6.6  39.8  10.1
  5.|-- 197.243.126.122            0.0%    10    8.2   9.8   6.7  20.9   4.0
  6.|-- 72.14.242.254              0.0%    10   37.0  44.5  25.3 141.5  34.5
  7.|-- 172.253.53.49              0.0%    10   29.9  29.9  27.2  32.0   1.6
  8.|-- 216.239.63.239             0.0%    10   25.0  25.5  24.1  27.7   1.3
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   43.1  30.0  23.5  43.1   6.3
Start: 2024-03-14T15:08:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l  0.0%    10    7.6   7.0   4.9   8.5   1.2
  2.|-- 197.243.109.57             0.0%    10   10.4   8.0   6.3  10.4   1.3
  3.|-- 10.255.254.24              0.0%    10    9.5   8.3   5.9  12.0   2.1
  4.|-- 197.243.126.123            0.0%    10    9.0  10.4   5.8  27.7   6.4
  5.|-- 197.243.126.122            0.0%    10    7.7   9.8   6.7  20.5   4.7
  6.|-- 72.14.242.254              0.0%    10   28.1  29.6  24.9  37.5   4.4
  7.|-- 172.253.53.49              0.0%    10   28.6  30.4  25.5  44.4   5.6
  8.|-- 216.239.63.239             0.0%    10   31.3  27.7  25.6  33.9   2.8
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   28.2  26.9  24.7  28.5   1.3
Start: 2024-03-14T15:10:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l 10.0%    10    4.2   6.2   3.8   8.5   1.7
  2.|-- 197.243.109.57             0.0%    10    7.4   6.6   4.6   8.2   1.2
  3.|-- 10.255.254.24              0.0%    10    5.5   7.1   5.5   9.5   1.2
  4.|-- 197.243.126.123            0.0%    10    7.0   6.6   4.3   8.5   1.4
  5.|-- 197.243.126.122            0.0%    10    7.6   8.5   5.6  13.2   2.1
  6.|-- 72.14.242.254              0.0%    10   33.8  30.6  25.5  43.7   5.8
  7.|-- 172.253.53.49              0.0%    10   26.2  28.5  25.5  39.3   4.3
  8.|-- 216.239.63.239             0.0%    10   41.5  28.2  24.4  41.5   6.0
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   25.9  25.9  23.8  29.1   1.7
Start: 2024-03-14T15:12:01+0000
HOST: parrot                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 172-29-104-001.w.africa.l  0.0%    10    4.4   6.2   4.0   8.0   1.3
  2.|-- 197.243.109.57             0.0%    10    7.0   7.0   5.9   9.2   1.1
  3.|-- 10.255.254.24              0.0%    10    7.6   7.4   5.6  10.1   1.5
  4.|-- 197.243.126.123            0.0%    10    5.9  14.8   4.8  33.0  11.6
  5.|-- 197.243.126.122            0.0%    10    5.7   8.1   5.0  13.5   2.5
  6.|-- 72.14.242.254              0.0%    10   24.0  26.0  24.0  28.3   1.4
  7.|-- 172.253.53.49              0.0%    10   26.6  28.2  25.4  34.2   2.4
  8.|-- 216.239.63.239             0.0%    10   25.6  26.0  24.5  27.4   1.0
  9.|-- mba01s10-in-f14.1e100.net  0.0%    10   24.4  25.5  23.7  30.0   1.9
